date,XLY,XLF,XLV,XLK,XLP,XLI,XLB,XLE,XLU,XLRE,XLC,SPY
2024-07-02,91.75721740722656,40.43513870239258,139.54788208007812,113.16510009765625,72.66571807861328,117.97052764892578,41.95008087158203,42.777244567871094,32.14168930053711,35.72574234008789,84.06083679199219,536.3136596679688
2024-07-03,92.34243774414062,40.30902099609375,138.48487854003906,114.6915512084961,72.54237365722656,118.39875030517578,42.26310729980469,42.96501159667969,32.335426330566406,35.688331604003906,84.09011840820312,538.70703125
2024-07-05,93.09488677978516,40.29932403564453,139.5575408935547,115.04229736328125,73.4344253540039,117.97052764892578,42.330528259277344,42.29376220703125,32.392127990722656,35.81926345825195,85.72134399414062,541.8134155273438
2024-07-08,93.1391372680664,40.19261169433594,139.40292358398438,115.8277587890625,73.3205337524414,118.11652374267578,42.45573806762695,42.035579681396484,32.425209045410156,35.90343475341797,84.94969177246094,542.4386596679688
2024-07-09,93.4489517211914,40.503047943115234,140.0794219970703,115.73389434814453,73.13075256347656,117.60072326660156,42.022315979003906,41.66474533081055,32.519718170166016,35.91278839111328,85.21341705322266,542.9661254882812
2024-07-10,94.15220642089844,40.65826416015625,141.40338134765625,117.41348266601562,73.45339965820312,118.65177154541016,42.58576202392578,41.94639205932617,32.826866149902344,36.16529846191406,85.75064086914062,548.3389282226562
2024-07-11,92.9571762084961,40.978416442871094,142.39878845214844,114.47419738769531,73.17819213867188,120.16023254394531,43.1684684753418,42.3829460144043,33.42697525024414,37.12858200073242,84.57852172851562,543.61083984375
2024-07-12,94.17188262939453,41.11423110961914,143.28782653808594,115.49676513671875,73.5008544921875,120.85118865966797,43.58262634277344,42.49091339111328,33.672691345214844,37.399803161621094,84.30502319335938,547.0397338867188
2024-07-15,94.06368255615234,41.71571731567383,142.78533935546875,115.70425415039062,73.07380676269531,121.71733093261719,43.471866607666016,43.133995056152344,32.85520935058594,37.55878829956055,84.60783386230469,548.5440673828125
2024-07-16,95.75050354003906,42.19108200073242,144.8244171142578,115.31893157958984,73.77606201171875,124.75369262695312,44.31461715698242,43.32646179199219,33.11037826538086,37.914180755615234,84.83247375488281,551.7969970703125
2024-07-17,94.15220642089844,42.511226654052734,145.48155212402344,110.83342742919922,74.72506713867188,123.15766143798828,44.22312545776367,43.75830841064453,33.12928009033203,38.250858306884766,83.55290985107422,544.0602416992188
2024-07-18,93.19322204589844,41.9970588684082,142.17648315429688,110.84332275390625,74.35497283935547,122.1941909790039,43.78488540649414,43.838111877441406,33.100929260253906,37.932884216308594,83.50408172607422,539.879150390625
2024-07-19,92.36211395263672,41.570194244384766,142.90127563476562,109.109375,74.10822296142578,121.522705078125,43.394813537597656,43.35931396484375,33.13873291015625,37.8861198425293,83.13290405273438,536.2941284179688
2024-07-22,93.38011169433594,41.80303192138672,143.7227325439453,111.69297790527344,74.1556625366211,122.75865936279297,43.53927993774414,43.087059020996094,33.41752624511719,38.26020812988281,83.48453521728516,541.8233032226562
2024-07-23,92.96208953857422,41.88063430786133,143.63572692871094,111.2483901977539,73.88995361328125,122.52508544921875,43.712642669677734,42.40171813964844,33.20961380004883,38.19474792480469,83.36732482910156,540.973388671875
2024-07-24,89.16058349609375,41.308258056640625,144.83404541015625,106.64432525634766,73.82351684570312,119.88773345947266,43.154022216796875,42.40641403198242,33.582916259765625,37.671016693115234,81.18912506103516,528.7135620117188
2024-07-25,88.81141662597656,41.463478088378906,144.10926818847656,105.5031967163086,73.73809814453125,120.85118865966797,43.2744140625,43.138694763183594,33.30412292480469,37.46526336669922,80.2514419555664,525.958740234375
