Date,TICKER,BUY TRADE,SELL TRADE,PREV. CLOSE,TREND,INDEX,IXIC_Open,IXIC_High,IXIC_Low,IXIC_Close,VIX_Close,NEEDS_MANUAL_UPDATE
03/06/2017,,,,,,,5846.42,5857.74,5827.46,5849.18,11.24,YES
03/07/2017,,,,,,,5836.12,5859.77,5826.32,5833.93,11.45,YES
03/08/2017,,,,,,,5838.44,5860.63,5832.63,5837.55,11.86,YES
03/09/2017,,,,,,,5834.67,5852.54,5812.08,5838.81,12.3,YES
03/10/2017,,,,,,,5867.16,5872.6,5835.44,5861.73,11.66,YES
03/13/2017,,,,,,,5863.48,5877.43,5860.83,5875.78,11.35,YES
03/14/2017,,,,,,,5860.07,5860.5,5831.88,5856.82,12.3,YES
03/15/2017,,,,,,,5869.98,5911.2,5858.16,5900.05,11.63,YES
03/16/2017,,,,,,,5907.86,5911.48,5887.24,5900.76,11.21,YES
03/17/2017,,,,,,,5898.58,5912.61,5890.42,5901.0,11.28,YES
03/20/2017,,,,,,,5898.81,5915.12,5888.12,5901.53,11.34,YES
03/21/2017,,,,,,,5923.42,5928.06,5790.73,5793.83,12.47,YES
03/22/2017,,,,,,,5790.59,5825.67,5781.8,5821.64,12.81,YES
03/23/2017,,,,,,,5812.31,5842.82,5806.98,5817.69,13.12,YES
03/24/2017,,,,,,,5839.33,5858.95,5807.83,5828.74,12.96,YES
03/27/2017,,,,,,,5776.33,5849.2,5769.39,5840.37,12.5,YES
03/28/2017,,,,,,,5836.5,5888.7,5828.86,5875.14,11.53,YES
03/29/2017,,,,,,,5875.35,5900.87,5870.93,5897.55,11.42,YES
03/30/2017,,,,,,,5896.15,5916.77,5894.0,5914.34,11.54,YES
03/31/2017,,,,,,,5905.63,5927.81,5901.77,5911.74,12.37,YES
04/03/2017,,,,,,,5917.32,5928.93,5867.73,5894.68,12.38,YES
04/04/2017,,,,,,,5878.76,5901.39,5878.76,5898.61,11.79,YES
04/05/2017,,,,,,,5911.92,5936.39,5856.26,5864.48,12.89,YES
04/06/2017,,,,,,,5870.52,5889.58,5856.22,5878.95,12.39,YES
04/07/2017,,,,,,,5873.94,5892.07,5855.51,5877.81,12.87,YES
04/10/2017,,,,,,,5883.43,5907.85,5865.56,5880.93,14.05,YES
04/11/2017,,,,,,,5871.16,5878.94,5819.29,5866.77,15.07,YES
04/12/2017,,,,,,,5863.59,5868.09,5830.44,5836.16,15.77,YES
04/13/2017,,,,,,,5828.37,5856.54,5805.15,5805.15,15.96,YES
04/17/2017,,,,,,,5821.55,5856.79,5818.2,5856.79,14.66,YES
04/18/2017,,,,,,,5838.59,5860.04,5828.57,5849.47,14.42,YES
04/19/2017,,,,,,,5874.43,5894.68,5856.34,5863.03,14.93,YES
04/20/2017,,,,,,,5887.87,5926.23,5880.2,5916.78,14.15,YES
04/21/2017,,,,,,,5919.02,5919.23,5899.43,5910.52,14.63,YES
04/24/2017,,,,,,,5979.96,5989.92,5970.25,5983.82,10.84,YES
04/25/2017,,,,,,,6004.16,6036.02,6002.65,6025.49,10.76,YES
04/26/2017,,,,,,,6028.12,6040.89,6021.72,6025.23,10.85,YES
04/27/2017,,,,,,,6038.47,6050.7,6031.59,6048.94,10.36,YES
04/28/2017,,,,,,,6072.87,6074.04,6040.71,6047.61,10.82,YES
05/01/2017,,,,,,,6067.56,6100.73,6061.35,6091.6,10.11,YES
05/02/2017,,,,,,,6102.51,6102.72,6081.56,6095.37,10.59,YES
05/03/2017,,,,,,,6075.04,6076.96,6053.28,6072.55,10.68,YES
05/04/2017,,,,,,,6075.06,6080.82,6054.33,6075.34,10.46,YES
05/05/2017,,,,,,,6091.69,6100.76,6067.16,6100.76,10.57,YES
05/08/2017,,,,,,,6100.66,6106.12,6083.06,6102.66,9.77,YES
05/09/2017,,,,,,,6111.82,6133.0,6107.59,6120.59,9.96,YES
05/10/2017,,,,,,,6121.64,6131.64,6103.87,6129.14,10.21,YES
05/11/2017,,,,,,,6110.05,6120.2,6075.68,6115.96,10.6,YES
05/12/2017,,,,,,,6119.27,6122.84,6105.42,6121.23,10.4,YES
05/15/2017,,,,,,,6128.11,6153.04,6124.79,6149.67,10.42,YES
05/16/2017,,,,,,,6160.52,6170.16,6139.1,6169.87,10.65,YES
05/17/2017,,,,,,,6108.62,6122.87,6009.48,6011.24,15.59,YES
05/18/2017,,,,,,,5998.46,6073.45,5996.81,6055.13,14.66,YES
05/19/2017,,,,,,,6070.23,6106.55,6070.23,6083.7,12.04,YES
05/22/2017,,,,,,,6098.25,6135.92,6097.24,6133.62,10.93,YES
05/23/2017,,,,,,,6149.55,6150.91,6121.79,6138.71,10.72,YES
05/24/2017,,,,,,,6154.18,6166.09,6139.33,6163.02,10.02,YES
05/25/2017,,,,,,,6183.02,6217.34,6174.52,6205.26,9.99,YES
05/26/2017,,,,,,,6207.04,6211.52,6196.66,6210.19,9.81,YES
05/30/2017,,,,,,,6204.18,6217.13,6200.41,6203.19,10.38,YES
05/31/2017,,,,,,,6221.63,6221.99,6164.07,6198.52,10.41,YES
06/01/2017,,,,,,,6215.91,6247.07,6200.45,6246.83,9.89,YES
06/02/2017,,,,,,,6261.59,6308.76,6253.77,6305.8,9.75,YES
06/05/2017,,,,,,,6305.47,6310.62,6292.15,6295.68,10.07,YES
06/06/2017,,,,,,,6281.88,6304.21,6269.87,6275.06,10.45,YES
06/07/2017,,,,,,,6290.44,6302.78,6267.18,6297.38,10.39,YES
06/08/2017,,,,,,,6311.73,6324.06,6282.93,6321.76,10.16,YES
06/09/2017,,,,,,,6330.25,6341.7,6137.68,6207.92,10.7,YES
06/12/2017,,,,,,,6153.56,6183.81,6110.67,6175.46,11.46,YES
06/13/2017,,,,,,,6206.12,6226.41,6180.04,6220.37,10.42,YES
06/14/2017,,,,,,,6237.46,6237.53,6153.55,6194.89,10.64,YES
06/15/2017,,,,,,,6127.05,6170.15,6107.85,6165.5,10.9,YES
06/16/2017,,,,,,,6154.28,6161.56,6125.5,6151.76,10.38,YES
06/19/2017,,,,,,,6196.85,6243.31,6194.0,6239.01,10.37,YES
06/20/2017,,,,,,,6229.62,6234.01,6186.94,6188.03,10.86,YES
06/21/2017,,,,,,,6202.75,6236.66,6200.86,6233.95,10.75,YES
06/22/2017,,,,,,,6239.15,6257.68,6221.96,6236.69,10.48,YES
06/23/2017,,,,,,,6234.35,6269.37,6218.78,6265.25,10.02,YES
06/26/2017,,,,,,,6292.73,6303.45,6233.43,6247.15,9.9,YES
06/27/2017,,,,,,,6227.9,6234.32,6146.62,6146.62,11.06,YES
06/28/2017,,,,,,,6173.1,6238.29,6144.8,6234.41,10.03,YES
06/29/2017,,,,,,,6215.49,6216.6,6087.81,6144.35,11.44,YES
06/30/2017,,,,,,,6166.84,6170.63,6129.04,6140.42,11.18,YES
07/03/2017,,,,,,,6173.29,6177.36,6106.12,6110.06,11.22,YES
07/05/2017,,,,,,,6122.06,6163.62,6100.42,6150.86,11.07,YES
07/06/2017,,,,,,,6109.6,6127.98,6081.96,6089.46,12.54,YES
07/07/2017,,,,,,,6111.21,6164.94,6111.21,6153.08,11.19,YES
07/10/2017,,,,,,,6156.03,6191.27,6141.83,6176.39,11.11,YES
07/11/2017,,,,,,,6171.25,6200.58,6149.87,6193.3,10.89,YES
07/12/2017,,,,,,,6238.9,6265.64,6236.82,6261.17,10.3,YES
07/13/2017,,,,,,,6269.1,6281.45,6251.26,6274.44,9.9,YES
07/14/2017,,,,,,,6289.08,6321.76,6278.7,6312.47,9.51,YES
07/17/2017,,,,,,,6320.35,6330.97,6307.34,6314.43,9.82,YES
07/18/2017,,,,,,,6304.82,6344.55,6291.07,6344.31,9.89,YES
07/19/2017,,,,,,,6363.24,6387.73,6362.19,6385.04,9.79,YES
07/20/2017,,,,,,,6396.46,6398.26,6365.68,6390.0,9.58,YES
07/21/2017,,,,,,,6383.05,6388.78,6365.12,6387.75,9.36,YES
07/24/2017,,,,,,,6387.82,6417.7,6380.61,6410.81,9.43,YES
07/25/2017,,,,,,,6407.59,6425.45,6396.87,6412.17,9.43,YES
07/26/2017,,,,,,,6425.93,6432.38,6416.3,6422.75,9.6,YES
07/27/2017,,,,,,,6459.76,6460.84,6318.62,6382.19,10.11,YES
07/28/2017,,,,,,,6350.27,6379.7,6337.22,6374.68,10.29,YES
07/31/2017,,,,,,,6394.69,6396.59,6338.79,6348.12,10.26,YES
08/01/2017,,,,,,,6372.16,6375.75,6345.75,6362.94,10.09,YES
08/02/2017,,,,,,,6393.1,6394.21,6313.43,6362.65,10.28,YES
08/03/2017,,,,,,,6366.24,6368.53,6331.14,6340.34,10.44,YES
08/04/2017,,,,,,,6350.79,6361.49,6329.73,6351.56,10.03,YES
08/07/2017,,,,,,,6361.06,6386.03,6356.23,6383.77,9.93,YES
08/08/2017,,,,,,,6373.33,6423.35,6355.88,6370.46,10.96,YES
08/09/2017,,,,,,,6322.92,6355.04,6309.44,6352.33,11.11,YES
08/10/2017,,,,,,,6312.65,6318.28,6214.41,6216.87,16.04,YES
08/11/2017,,,,,,,6222.18,6266.89,6216.19,6256.56,15.51,YES
08/14/2017,,,,,,,6306.11,6346.83,6305.55,6340.23,12.33,YES
08/15/2017,,,,,,,6350.51,6350.74,6324.75,6333.01,12.04,YES
08/16/2017,,,,,,,6348.11,6374.56,6330.27,6345.11,11.74,YES
08/17/2017,,,,,,,6322.72,6334.23,6221.91,6221.91,15.55,YES
08/18/2017,,,,,,,6222.46,6254.22,6193.38,6216.53,14.26,YES
08/21/2017,,,,,,,6216.32,6226.93,6177.19,6213.13,13.19,YES
08/22/2017,,,,,,,6241.21,6302.84,6241.21,6297.48,11.35,YES
08/23/2017,,,,,,,6263.47,6291.3,6263.29,6278.41,12.25,YES
08/24/2017,,,,,,,6294.82,6302.85,6244.57,6271.33,12.23,YES
08/25/2017,,,,,,,6293.81,6308.72,6257.1,6265.64,11.28,YES
08/28/2017,,,,,,,6286.01,6292.26,6267.85,6283.02,11.32,YES
08/29/2017,,,,,,,6228.9,6311.26,6228.73,6301.89,11.7,YES
08/30/2017,,,,,,,6308.68,6374.47,6303.57,6368.31,11.22,YES
08/31/2017,,,,,,,6385.8,6435.27,6383.58,6428.66,10.59,YES
09/01/2017,,,,,,,6442.17,6449.65,6417.87,6435.33,10.13,YES
09/05/2017,,,,,,,6414.82,6426.51,6334.59,6375.57,12.23,YES
09/06/2017,,,,,,,6394.35,6407.4,6356.2,6393.31,11.63,YES
09/07/2017,,,,,,,6402.94,6413.07,6379.81,6397.87,11.55,YES
09/08/2017,,,,,,,6389.65,6391.41,6354.96,6360.19,12.12,YES
09/11/2017,,,,,,,6411.18,6439.11,6410.71,6432.26,10.73,YES
09/12/2017,,,,,,,6448.81,6455.03,6429.54,6454.28,10.58,YES
09/13/2017,,,,,,,6440.72,6460.42,6433.2,6460.19,10.5,YES
09/14/2017,,,,,,,6439.46,6455.32,6424.04,6429.08,10.44,YES
09/15/2017,,,,,,,6426.16,6464.27,6419.65,6448.47,10.17,YES
09/18/2017,,,,,,,6460.1,6477.77,6438.41,6454.64,10.15,YES
09/19/2017,,,,,,,6465.57,6467.79,6446.75,6461.32,10.18,YES
09/20/2017,,,,,,,6459.74,6466.05,6414.23,6456.04,9.78,YES
09/21/2017,,,,,,,6448.57,6448.57,6405.3,6422.69,9.67,YES
09/22/2017,,,,,,,6401.44,6429.54,6400.81,6426.92,9.59,YES
09/25/2017,,,,,,,6403.11,6408.05,6343.96,6370.59,10.21,YES
09/26/2017,,,,,,,6391.85,6405.0,6364.57,6380.16,10.17,YES
09/27/2017,,,,,,,6414.37,6472.65,6405.36,6453.26,9.87,YES
09/28/2017,,,,,,,6437.96,6456.23,6427.66,6453.45,9.55,YES
09/29/2017,,,,,,,6461.28,6497.98,6454.86,6495.96,9.51,YES
10/02/2017,,,,,,,6506.08,6527.22,6484.14,6516.72,9.45,YES
10/03/2017,,,,,,,6523.74,6532.18,6509.71,6531.71,9.51,YES
10/04/2017,,,,,,,6521.96,6546.46,6513.12,6534.63,9.63,YES
10/05/2017,,,,,,,6552.87,6587.21,6547.65,6585.36,9.19,YES
10/06/2017,,,,,,,6566.95,6590.18,6566.84,6590.18,9.65,YES
10/09/2017,,,,,,,6597.37,6599.34,6572.44,6579.73,10.33,YES
10/10/2017,,,,,,,6602.49,6608.3,6561.78,6587.25,10.08,YES
10/11/2017,,,,,,,6586.73,6604.21,6577.99,6603.55,9.85,YES
10/12/2017,,,,,,,6594.76,6613.5,6586.32,6591.51,9.91,YES
10/13/2017,,,,,,,6613.21,6616.58,6602.2,6605.8,9.61,YES
10/16/2017,,,,,,,6622.55,6632.5,6607.03,6624.0,9.91,YES
10/17/2017,,,,,,,6621.42,6628.6,6613.21,6623.66,10.31,YES
10/18/2017,,,,,,,6634.26,6635.52,6613.55,6624.22,10.07,YES
10/19/2017,,,,,,,6583.7,6605.29,6558.53,6605.07,10.05,YES
10/20/2017,,,,,,,6633.37,6640.03,6622.92,6629.05,9.97,YES
10/23/2017,,,,,,,6641.57,6641.57,6581.15,6586.83,11.07,YES
10/24/2017,,,,,,,6598.61,6611.9,6582.06,6598.43,11.16,YES
10/25/2017,,,,,,,6587.22,6600.64,6517.93,6563.89,11.23,YES
10/26/2017,,,,,,,6567.59,6582.76,6550.03,6556.77,11.3,YES
10/27/2017,,,,,,,6635.03,6708.13,6625.78,6701.26,9.8,YES
10/30/2017,,,,,,,6693.77,6727.39,6677.15,6698.96,10.5,YES
10/31/2017,,,,,,,6713.71,6737.75,6705.79,6727.67,10.18,YES
11/01/2017,,,,,,,6758.64,6759.66,6691.48,6716.53,10.2,YES
11/02/2017,,,,,,,6709.39,6719.97,6677.55,6714.94,9.93,YES
11/03/2017,,,,,,,6737.09,6765.14,6712.93,6764.44,9.14,YES
11/06/2017,,,,,,,6763.3,6790.67,6763.17,6786.44,9.4,YES
11/07/2017,,,,,,,6785.44,6795.52,6750.35,6767.78,9.89,YES
11/08/2017,,,,,,,6764.85,6791.65,6753.34,6789.12,9.78,YES
11/09/2017,,,,,,,6737.45,6758.93,6687.28,6750.05,10.5,YES
11/10/2017,,,,,,,6736.39,6757.34,6727.35,6750.94,11.29,YES
11/13/2017,,,,,,,6727.39,6766.3,6723.43,6757.6,11.5,YES
11/14/2017,,,,,,,6733.87,6743.63,6709.27,6737.87,11.59,YES
11/15/2017,,,,,,,6700.68,6725.32,6667.31,6706.21,13.13,YES
11/16/2017,,,,,,,6742.34,6806.67,6742.34,6793.29,11.76,YES
11/17/2017,,,,,,,6794.45,6797.75,6777.43,6782.79,11.43,YES
11/20/2017,,,,,,,6789.28,6795.83,6779.49,6790.71,10.65,YES
11/21/2017,,,,,,,6820.55,6862.66,6820.02,6862.48,9.73,YES
11/22/2017,,,,,,,6869.53,6874.52,6859.28,6867.36,9.88,YES
11/24/2017,,,,,,,6878.11,6890.02,6873.74,6889.16,9.67,YES
11/27/2017,,,,,,,6889.91,6897.43,6867.89,6878.52,9.87,YES
11/28/2017,,,,,,,6893.72,6914.19,6866.21,6912.36,10.03,YES
11/29/2017,,,,,,,6907.28,6908.33,6793.95,6824.39,10.7,YES
11/30/2017,,,,,,,6852.8,6888.65,6838.48,6873.97,11.28,YES
12/01/2017,,,,,,,6844.04,6872.17,6737.16,6847.59,11.43,YES
12/04/2017,,,,,,,6897.13,6899.23,6770.69,6775.37,11.68,YES
12/05/2017,,,,,,,6759.14,6836.45,6752.32,6762.21,11.33,YES
12/06/2017,,,,,,,6742.07,6787.42,6734.13,6776.38,11.02,YES
12/07/2017,,,,,,,6785.74,6829.29,6778.2,6812.84,10.16,YES
12/08/2017,,,,,,,6859.95,6870.48,6831.61,6840.08,9.58,YES
12/11/2017,,,,,,,6847.64,6879.8,6844.88,6875.08,9.34,YES
12/12/2017,,,,,,,6872.71,6884.8,6856.3,6862.32,9.92,YES
12/13/2017,,,,,,,6880.41,6897.62,6871.87,6875.8,10.18,YES
12/14/2017,,,,,,,6887.38,6901.13,6851.63,6856.53,10.49,YES
12/15/2017,,,,,,,6871.55,6945.82,6871.45,6936.58,9.42,YES
12/18/2017,,,,,,,6980.4,7003.89,6975.54,6994.76,9.53,YES
12/19/2017,,,,,,,6991.25,6995.88,6951.49,6963.85,10.03,YES
12/20/2017,,,,,,,6991.25,6991.25,6935.42,6960.96,9.72,YES
12/21/2017,,,,,,,6972.88,6992.63,6961.21,6965.36,9.62,YES
12/22/2017,,,,,,,6958.02,6962.26,6944.45,6959.96,9.9,YES
12/26/2017,,,,,,,6928.92,6942.14,6915.56,6936.25,10.25,YES
12/27/2017,,,,,,,6941.45,6955.38,6931.34,6939.34,10.47,YES
12/28/2017,,,,,,,6953.38,6954.8,6936.75,6950.16,10.18,YES
12/29/2017,,,,,,,6952.61,6954.98,6903.39,6903.39,11.04,YES
01/02/2018,,,,,,,6937.65,7006.91,6924.08,7006.9,9.77,YES
01/03/2018,,,,,,,7017.07,7069.15,7016.7,7065.53,9.15,YES
01/04/2018,,,,,,,7089.5,7098.05,7072.38,7077.91,9.22,YES
01/05/2018,,,,,,,7105.74,7137.04,7097.08,7136.56,9.22,YES
01/08/2018,,,,,,,7135.38,7161.35,7124.09,7157.39,9.52,YES
01/09/2018,,,,,,,7174.19,7181.14,7148.3,7163.58,10.08,YES
01/10/2018,,,,,,,7129.83,7154.24,7111.52,7153.57,9.82,YES
01/11/2018,,,,,,,7168.73,7211.78,7163.23,7211.78,9.88,YES
01/12/2018,,,,,,,7208.17,7265.26,7205.18,7261.06,10.16,YES
01/16/2018,,,,,,,7307.19,7330.33,7205.93,7223.69,11.66,YES
01/17/2018,,,,,,,7257.77,7309.36,7229.32,7298.28,11.91,YES
01/18/2018,,,,,,,7293.65,7313.89,7276.11,7296.05,12.22,YES
01/19/2018,,,,,,,7312.0,7336.38,7297.28,7336.38,11.27,YES
01/22/2018,,,,,,,7338.04,7408.03,7332.81,7408.03,11.03,YES
01/23/2018,,,,,,,7424.95,7465.39,7423.18,7460.29,11.1,YES
01/24/2018,,,,,,,7474.16,7486.32,7376.75,7415.06,11.47,YES
01/25/2018,,,,,,,7457.95,7458.53,7388.58,7411.16,11.58,YES
01/26/2018,,,,,,,7448.33,7505.77,7431.22,7505.77,11.08,YES
01/29/2018,,,,,,,7484.47,7500.61,7455.55,7466.51,13.84,YES
01/30/2018,,,,,,,7388.89,7433.65,7373.99,7402.48,14.79,YES
01/31/2018,,,,,,,7443.25,7453.99,7381.12,7411.48,13.54,YES
02/01/2018,,,,,,,7377.17,7441.09,7362.28,7385.86,13.47,YES
02/02/2018,,,,,,,7347.59,7364.43,7238.18,7240.95,17.31,YES
02/05/2018,,,,,,,7165.96,7277.36,6967.53,6967.53,37.32,YES
02/06/2018,,,,,,,6837.56,7126.55,6824.82,7115.88,29.98,YES
02/07/2018,,,,,,,7086.2,7170.34,7051.53,7051.98,27.73,YES
02/08/2018,,,,,,,7067.3,7073.99,6776.77,6777.16,33.46,YES
02/09/2018,,,,,,,6863.34,6917.01,6630.67,6874.49,29.06,YES
02/12/2018,,,,,,,6936.68,7023.62,6879.69,6981.96,25.61,YES
02/13/2018,,,,,,,6942.16,7025.68,6938.16,7013.51,24.97,YES
02/14/2018,,,,,,,6979.24,7152.05,6977.07,7143.62,19.26,YES
02/15/2018,,,,,,,7200.75,7256.93,7130.39,7256.43,19.13,YES
02/16/2018,,,,,,,7236.51,7303.26,7226.38,7239.47,19.46,YES
02/20/2018,,,,,,,7209.03,7295.95,7206.0,7234.31,20.6,YES
02/21/2018,,,,,,,7258.48,7338.64,7218.11,7218.23,20.02,YES
02/22/2018,,,,,,,7252.46,7280.93,7194.84,7210.09,18.72,YES
02/23/2018,,,,,,,7261.35,7337.83,7232.5,7337.39,16.49,YES
02/26/2018,,,,,,,7373.3,7421.85,7360.25,7421.46,15.8,YES
02/27/2018,,,,,,,7416.17,7438.09,7330.35,7330.35,18.59,YES
02/28/2018,,,,,,,7371.41,7386.8,7273.01,7273.01,19.85,YES
03/01/2018,,,,,,,7274.75,7307.85,7117.66,7180.56,22.47,YES
03/02/2018,,,,,,,7099.54,7267.19,7084.83,7257.87,19.59,YES
03/05/2018,,,,,,,7222.89,7350.07,7205.31,7330.71,18.73,YES
03/06/2018,,,,,,,7366.61,7378.03,7319.68,7372.01,18.36,YES
03/07/2018,,,,,,,7311.74,7403.79,7311.74,7396.65,17.76,YES
03/08/2018,,,,,,,7422.77,7435.01,7391.5,7427.95,16.54,YES
03/09/2018,,,,,,,7475.98,7560.81,7469.03,7560.81,14.64,YES
03/12/2018,,,,,,,7581.04,7609.1,7563.44,7588.32,15.78,YES
03/13/2018,,,,,,,7627.52,7637.27,7492.98,7511.01,16.35,YES
03/14/2018,,,,,,,7539.78,7544.89,7473.9,7496.81,17.23,YES
03/15/2018,,,,,,,7509.24,7525.44,7463.19,7481.74,16.59,YES
03/16/2018,,,,,,,7504.37,7514.21,7473.68,7481.99,15.8,YES
03/19/2018,,,,,,,7419.2,7421.23,7285.27,7344.24,19.02,YES
03/20/2018,,,,,,,7353.25,7380.74,7331.24,7364.3,18.2,YES
03/21/2018,,,,,,,7347.5,7415.66,7325.35,7345.29,17.86,YES
03/22/2018,,,,,,,7257.55,7303.19,7164.38,7166.68,23.34,YES
03/23/2018,,,,,,,7170.68,7194.31,6992.67,6992.67,24.87,YES
03/26/2018,,,,,,,7125.2,7225.83,7022.34,7220.54,21.03,YES
03/27/2018,,,,,,,7255.47,7255.54,6963.68,7008.81,22.5,YES
03/28/2018,,,,,,,6978.3,7036.09,6901.07,6949.23,22.87,YES
03/29/2018,,,,,,,6984.66,7120.46,6935.78,7063.45,19.97,YES
04/02/2018,,,,,,,7016.17,7044.71,6805.96,6870.12,23.62,YES
04/03/2018,,,,,,,6924.35,6963.71,6835.23,6941.28,21.1,YES
04/04/2018,,,,,,,6811.77,7059.29,6811.77,7042.11,20.06,YES
04/05/2018,,,,,,,7099.25,7112.38,7036.62,7076.55,18.94,YES
04/06/2018,,,,,,,6999.57,7066.64,6877.76,6915.11,21.49,YES
04/09/2018,,,,,,,6971.45,7074.95,6944.96,6950.34,21.77,YES
04/10/2018,,,,,,,7060.99,7117.98,7014.88,7094.3,20.47,YES
04/11/2018,,,,,,,7055.0,7128.54,7055.0,7069.03,20.24,YES
04/12/2018,,,,,,,7112.02,7166.0,7105.09,7140.25,18.49,YES
04/13/2018,,,,,,,7179.62,7183.62,7078.14,7106.65,17.41,YES
04/16/2018,,,,,,,7153.87,7178.51,7115.85,7156.28,16.56,YES
04/17/2018,,,,,,,7215.12,7298.59,7206.55,7281.1,15.25,YES
04/18/2018,,,,,,,7292.38,7319.58,7259.9,7295.24,15.6,YES
04/19/2018,,,,,,,7258.61,7277.45,7215.17,7238.06,15.96,YES
04/20/2018,,,,,,,7220.64,7222.99,7123.49,7146.13,16.88,YES
04/23/2018,,,,,,,7173.99,7195.72,7094.43,7128.6,16.34,YES
04/24/2018,,,,,,,7160.77,7171.67,6961.52,7007.35,18.02,YES
04/25/2018,,,,,,,7009.99,7030.74,6926.97,7003.74,17.84,YES
04/26/2018,,,,,,,7080.49,7143.94,7055.66,7118.68,16.24,YES
04/27/2018,,,,,,,7195.52,7197.15,7083.95,7119.8,15.41,YES
04/30/2018,,,,,,,7133.95,7169.8,7065.41,7066.27,15.93,YES
05/01/2018,,,,,,,7053.65,7133.27,7036.18,7130.7,15.49,YES
05/02/2018,,,,,,,7138.45,7169.46,7094.72,7100.9,15.97,YES
05/03/2018,,,,,,,7065.03,7112.59,6991.14,7088.15,15.9,YES
05/04/2018,,,,,,,7065.67,7228.26,7057.89,7209.62,14.77,YES
05/07/2018,,,,,,,7241.82,7291.74,7235.76,7265.21,14.75,YES
05/08/2018,,,,,,,7255.34,7278.81,7224.7,7266.9,14.71,YES
05/09/2018,,,,,,,7281.53,7344.8,7259.05,7339.91,13.42,YES
05/10/2018,,,,,,,7355.9,7414.15,7353.63,7404.97,13.23,YES
05/11/2018,,,,,,,7393.97,7417.67,7372.26,7402.88,12.65,YES
05/14/2018,,,,,,,7429.45,7458.42,7401.89,7411.32,12.93,YES
05/15/2018,,,,,,,7361.3,7363.52,7320.97,7351.63,14.63,YES
05/16/2018,,,,,,,7356.22,7413.32,7356.16,7398.3,13.42,YES
