Date,TICKER,BUY TRADE,SELL TRADE,PREV. CLOSE,TREND,INDEX,GSPC_Open,GSPC_High,GSPC_Low,GSPC_Close,VIX_Close,NEEDS_MANUAL_UPDATE
02/13/2017,SPX,2282.0,2323.0,2316.0,BULLISH,SPX  S&P 500,2321.72,2331.58,2321.42,2328.25,11.07,
02/14/2017,SPX,2284.0,2334.0,2328.0,BULLISH,SPX  S&P 500,2326.12,2337.58,2322.17,2337.58,10.74,
02/15/2017,SPX,2305.0,2342.0,2337.0,BULLISH,SPX  S&P 500,2335.58,2351.3,2334.81,2349.25,11.97,
02/16/2017,SPX,2312.0,2355.0,2349.0,BULLISH,SPX  S&P 500,2349.64,2351.31,2338.87,2347.22,11.76,
02/17/2017,SPX,2319.0,2362.0,2347.0,BULLISH,SPX  S&P 500,2343.01,2351.16,2339.58,2351.16,11.49,
02/21/2017,SPX,2324.0,2369.0,2351.0,BULLISH,SPX  S&P 500,2354.91,2366.71,2354.91,2365.38,11.57,
02/22/2017,SPX,2332.0,2377.0,2365.0,BULLISH,SPX  S&P 500,2361.11,2365.13,2358.34,2362.82,11.74,
02/23/2017,SPX,2340.0,2379.0,2362.0,BULLISH,SPX  S&P 500,2367.5,2368.26,2355.09,2363.81,11.71,
02/24/2017,SPX,2345.0,2380.0,2363.0,BULLISH,SPX  S&P 500,2355.73,2367.34,2352.87,2367.34,11.47,
02/27/2017,SPX,2351.0,2379.0,2367.0,BULLISH,SPX  S&P 500,2365.23,2371.54,2361.87,2369.75,12.09,
02/28/2017,SPX,2356.0,2380.0,2369.0,BULLISH,SPX  S&P 500,2366.08,2367.79,2358.96,2363.64,12.92,
03/01/2017,SPX,2345.0,2380.0,2363.0,BULLISH,SPX  S&P 500,2380.13,2400.98,2380.13,2395.96,12.54,
03/02/2017,SPX,2360.0,2403.0,2396.0,BULLISH,SPX  S&P 500,2394.75,2394.75,2380.17,2381.92,11.81,
03/03/2017,SPX,2368.0,2396.0,2381.0,BULLISH,SPX  S&P 500,2380.92,2383.89,2375.39,2383.12,10.96,
03/06/2017,SPX,2370.0,2396.0,2383.0,BULLISH,SPX  S&P 500,2375.23,2378.8,2367.98,2375.31,11.24,
03/07/2017,SPX,2353.0,2396.0,2375.0,BULLISH,SPX  S&P 500,2370.74,2375.12,2365.51,2368.39,11.45,
03/08/2017,SPX,2354.0,2396.0,2368.0,BULLISH,SPX  S&P 500,2369.81,2373.09,2361.01,2362.98,11.86,
03/09/2017,SPX,2354.0,2396.0,2362.0,BULLISH,SPX  S&P 500,2363.49,2369.08,2354.54,2364.87,12.3,
03/10/2017,SPX,2353.0,2396.0,2364.0,BULLISH,SPX  S&P 500,2372.52,2376.86,2363.04,2372.6,11.66,
03/13/2017,SPX,2354.0,2395.0,2372.0,BULLISH,SPX  S&P 500,2371.56,2374.42,2368.52,2373.47,11.35,
03/14/2017,SPX,2355.0,2395.0,2373.0,BULLISH,SPX  S&P 500,2368.55,2368.55,2358.18,2365.45,12.3,
03/15/2017,SPX,2357.0,2395.0,2365.0,BULLISH,SPX  S&P 500,2370.34,2390.01,2368.94,2385.26,11.63,
03/16/2017,SPX,2358.0,2395.0,2385.0,BULLISH,SPX  S&P 500,2387.71,2388.1,2377.18,2381.38,11.21,
03/17/2017,SPX,2358.0,2395.0,2381.0,BULLISH,SPX  S&P 500,2383.71,2385.71,2377.64,2378.25,11.28,
03/20/2017,SPX,2357.0,2395.0,2378.0,BULLISH,SPX  S&P 500,2378.24,2379.55,2369.66,2373.47,11.34,
03/21/2017,SPX,2359.0,2395.0,2373.0,BULLISH,SPX  S&P 500,2379.32,2381.93,2341.9,2344.02,12.47,
03/22/2017,SPX,2336.0,2395.0,2344.0,BULLISH,SPX  S&P 500,2343.0,2351.81,2336.45,2348.45,12.81,
03/23/2017,SPX,2340.0,2395.0,2348.0,BULLISH,SPX  S&P 500,2345.97,2358.92,2342.13,2345.96,13.12,
03/24/2017,SPX,2334.0,2395.0,2345.0,BULLISH,SPX  S&P 500,2350.42,2356.22,2335.74,2343.98,12.96,
03/27/2017,SPX,2324.0,2395.0,2343.0,BULLISH,SPX  S&P 500,2329.11,2344.9,2322.25,2341.59,12.5,
03/28/2017,SPX,2324.0,2395.0,2341.0,BULLISH,SPX  S&P 500,2339.79,2363.78,2337.63,2358.57,11.53,
03/29/2017,SPX,2327.0,2395.0,2358.0,BULLISH,SPX  S&P 500,2356.54,2363.36,2352.94,2361.13,11.42,
03/30/2017,SPX,2330.0,2395.0,2361.0,BULLISH,SPX  S&P 500,2361.31,2370.42,2358.58,2368.06,11.54,
03/31/2017,SPX,2332.0,2395.0,2368.0,BULLISH,SPX  S&P 500,2364.82,2370.35,2362.6,2362.72,12.37,
04/03/2017,SPX,2335.0,2373.0,2362.0,BULLISH,SPX  S&P 500,2362.34,2365.87,2344.73,2358.84,12.38,
04/04/2017,SPX,2335.0,2373.0,2358.0,BULLISH,SPX  S&P 500,2354.76,2360.53,2350.72,2360.16,11.79,
04/05/2017,SPX,2339.0,2374.0,2360.0,BULLISH,SPX  S&P 500,2366.59,2378.36,2350.52,2352.95,12.89,
04/06/2017,SPX,2340.0,2375.0,2352.0,BULLISH,SPX  S&P 500,2353.79,2364.16,2348.9,2357.49,12.39,
04/07/2017,SPX,2343.0,2375.0,2357.0,BULLISH,SPX  S&P 500,2356.59,2363.76,2350.74,2355.54,12.87,
04/10/2017,SPX,2349.0,2370.0,2355.0,BULLISH,SPX  S&P 500,2357.16,2366.37,2351.5,2357.16,14.05,
04/11/2017,SPX,2350.0,2369.0,2357.0,BULLISH,SPX  S&P 500,2353.92,2355.22,2337.25,2353.78,15.07,
04/12/2017,SPX,2346.0,2368.0,2353.0,BULLISH,SPX  S&P 500,2352.15,2352.72,2341.18,2344.93,15.77,
04/13/2017,SPX,2339.0,2363.0,2344.0,BULLISH,SPX  S&P 500,2341.98,2348.26,2328.95,2328.95,15.96,
04/17/2017,SPX,2317.0,2369.0,2328.0,BULLISH,SPX  S&P 500,2332.62,2349.14,2332.51,2349.01,14.66,
04/18/2017,SPX,2332.0,2370.0,2349.0,BULLISH,SPX  S&P 500,2342.53,2348.35,2334.54,2342.19,14.42,
04/19/2017,SPX,2332.0,2367.0,2342.0,BULLISH,SPX  S&P 500,2346.79,2352.63,2335.05,2338.17,14.93,
04/20/2017,SPX,2328.0,2366.0,2338.0,BULLISH,SPX  S&P 500,2342.69,2361.37,2340.91,2355.84,14.15,
04/21/2017,SPX,2330.0,2366.0,2355.0,BULLISH,SPX  S&P 500,2354.74,2356.18,2344.51,2348.69,14.63,
04/24/2017,SPX,2330.0,2375.0,2348.0,BULLISH,SPX  S&P 500,2370.33,2376.98,2369.19,2374.15,10.84,
04/25/2017,SPX,2349.0,2381.0,2374.0,BULLISH,SPX  S&P 500,2381.51,2392.48,2381.15,2388.61,10.76,
04/26/2017,SPX,2356.0,2395.0,2388.0,BULLISH,SPX  S&P 500,2388.98,2398.16,2386.78,2387.45,10.85,
04/27/2017,SPX,2358.0,2398.0,2387.0,BULLISH,SPX  S&P 500,2389.7,2392.1,2382.68,2388.77,10.36,
04/28/2017,SPX,2363.0,2404.0,2388.0,BULLISH,SPX  S&P 500,2393.68,2393.68,2382.36,2384.2,10.82,
05/01/2017,SPX,2361.0,2406.0,2384.0,BULLISH,SPX  S&P 500,2388.5,2394.49,2384.83,2388.33,10.11,
05/02/2017,SPX,2370.0,2411.0,2388.0,BULLISH,SPX  S&P 500,2391.05,2392.93,2385.82,2391.17,10.59,
05/03/2017,SPX,2375.0,2409.0,2391.0,BULLISH,SPX  S&P 500,2386.5,2389.82,2379.75,2388.13,10.68,
05/04/2017,SPX,2376.0,2395.0,2388.0,BULLISH,SPX  S&P 500,2389.79,2391.43,2380.35,2389.52,10.46,
05/05/2017,SPX,2375.0,2397.0,2389.0,BULLISH,SPX  S&P 500,2392.37,2399.29,2389.38,2399.29,10.57,
05/08/2017,SPX,2382.0,2403.0,2399.0,BULLISH,SPX  S&P 500,2399.94,2401.36,2393.92,2399.38,9.77,
05/09/2017,SPX,2381.0,2405.0,2399.0,BULLISH,SPX  S&P 500,2401.58,2403.87,2392.44,2396.92,9.96,
05/10/2017,SPX,2380.0,2403.0,2396.0,BULLISH,SPX  S&P 500,2396.79,2399.74,2392.79,2399.63,10.21,
05/11/2017,SPX,2381.0,2405.0,2399.0,BULLISH,SPX  S&P 500,2394.84,2395.72,2381.74,2394.44,10.6,
05/12/2017,SPX,2381.0,2405.0,2394.0,BULLISH,SPX  S&P 500,2392.44,2392.44,2387.19,2390.9,10.4,
05/15/2017,SPX,2382.0,2404.0,2390.0,BULLISH,SPX  S&P 500,2393.98,2404.05,2393.94,2402.32,10.42,
05/16/2017,SPX,2385.0,2407.0,2402.0,BULLISH,SPX  S&P 500,2404.55,2405.77,2396.05,2400.67,10.65,
05/17/2017,SPX,2384.0,2405.0,2400.0,BULLISH,SPX  S&P 500,2382.95,2384.87,2356.21,2357.03,15.59,
05/18/2017,SPX,2345.0,2409.0,2357.0,BULLISH,SPX  S&P 500,2354.69,2375.74,2352.72,2365.72,14.66,
05/19/2017,SPX,2357.0,2410.0,2365.0,BULLISH,SPX  S&P 500,2371.37,2389.06,2370.43,2381.73,12.04,
05/22/2017,SPX,2357.0,2415.0,2381.0,BULLISH,SPX  S&P 500,2387.21,2395.46,2386.92,2394.02,10.93,
05/23/2017,SPX,2380.0,2418.0,2394.0,BULLISH,SPX  S&P 500,2397.04,2400.85,2393.88,2398.42,10.72,
05/24/2017,SPX,2381.0,2418.0,2398.0,BULLISH,SPX  S&P 500,2401.41,2405.58,2397.99,2404.39,10.02,
05/25/2017,SPX,2382.0,2420.0,2404.0,BULLISH,SPX  S&P 500,2409.54,2418.71,2408.01,2415.07,9.99,
05/26/2017,,,,,,,2414.5,2416.68,2412.2,2415.82,9.81,YES
05/30/2017,SPX,2390.0,2432.0,2416.0,BULLISH,SPX  S&P 500,2411.67,2415.26,2409.43,2412.91,10.38,
05/31/2017,SPX,2394.0,2435.0,2413.0,BULLISH,SPX  S&P 500,2415.63,2415.99,2403.59,2411.8,10.41,
06/01/2017,SPX,2391.0,2433.0,2411.0,BULLISH,SPX  S&P 500,2415.65,2430.06,2413.54,2430.06,9.89,
06/02/2017,SPX,2405.0,2435.0,2430.0,BULLISH,SPX  S&P 500,2431.28,2440.23,2427.71,2439.07,9.75,
06/05/2017,SPX,2414.0,2450.0,2439.0,BULLISH,SPX  S&P 500,2437.83,2439.55,2434.32,2436.1,10.07,
06/06/2017,SPX,2418.0,2445.0,2436.0,BULLISH,SPX  S&P 500,2431.92,2436.21,2428.12,2429.33,10.45,
06/07/2017,SPX,2420.0,2445.0,2429.0,BULLISH,SPX  S&P 500,2432.03,2435.28,2424.75,2433.14,10.39,
06/08/2017,SPX,2420.0,2446.0,2433.0,BULLISH,SPX  S&P 500,2434.27,2439.27,2427.94,2433.79,10.16,
06/09/2017,SPX,2422.0,2448.0,2433.0,BULLISH,SPX  S&P 500,2436.39,2446.2,2415.7,2431.77,10.7,
06/12/2017,SPX,2411.0,2447.0,2431.0,BULLISH,SPX  S&P 500,2425.88,2430.38,2419.97,2429.39,11.46,
06/13/2017,SPX,2416.0,2446.0,2429.0,BULLISH,SPX  S&P 500,2434.15,2441.49,2431.28,2440.35,10.42,
06/14/2017,SPX,2420.0,2444.0,2440.0,BULLISH,SPX  S&P 500,2443.75,2443.75,2428.34,2437.92,10.64,
06/15/2017,SPX,2424.0,2443.0,2437.0,BULLISH,SPX  S&P 500,2424.14,2433.95,2418.53,2432.46,10.9,
06/16/2017,SPX,2424.0,2442.0,2432.0,BULLISH,SPX  S&P 500,2431.24,2433.15,2422.88,2433.15,10.38,
06/19/2017,SPX,2425.0,2442.0,2433.0,BULLISH,SPX  S&P 500,2442.55,2453.82,2441.79,2453.46,10.37,
06/20/2017,SPX,2435.0,2459.0,2453.0,BULLISH,SPX  S&P 500,2450.66,2450.66,2436.6,2437.03,10.86,
06/21/2017,SPX,2422.0,2452.0,2437.0,BULLISH,SPX  S&P 500,2439.31,2442.23,2430.74,2435.61,10.75,
06/22/2017,SPX,2423.0,2453.0,2435.0,BULLISH,SPX  S&P 500,2437.4,2441.62,2433.27,2434.5,10.48,
06/23/2017,SPX,2425.0,2453.0,2434.0,BULLISH,SPX  S&P 500,2434.65,2441.4,2431.11,2438.3,10.02,
06/26/2017,SPX,2427.0,2453.0,2438.0,BULLISH,SPX  S&P 500,2443.32,2450.42,2437.03,2439.07,9.9,
06/27/2017,SPX,2425.0,2453.0,2439.0,BULLISH,SPX  S&P 500,2436.34,2440.15,2419.38,2419.38,11.06,
06/28/2017,SPX,2414.0,2453.0,2419.0,BULLISH,SPX  S&P 500,2428.7,2442.97,2428.02,2440.69,10.03,
06/29/2017,SPX,2425.0,2454.0,2440.0,BULLISH,SPX  S&P 500,2442.38,2442.73,2405.7,2419.7,11.44,
06/30/2017,SPX,2414.0,2456.0,2419.0,BULLISH,SPX  S&P 500,2429.2,2432.71,2421.65,2423.41,11.18,
07/03/2017,SPX,2415.0,2453.0,2423.0,BULLISH,SPX  S&P 500,2431.39,2439.17,2428.69,2429.01,11.22,
07/05/2017,SPX,2415.0,2450.0,2429.0,BULLISH,SPX  S&P 500,2430.78,2434.9,2422.05,2432.54,11.07,
07/06/2017,SPX,2415.0,2450.0,2432.0,BULLISH,SPX  S&P 500,2423.44,2424.28,2407.7,2409.75,12.54,
07/07/2017,,,,,,,2413.52,2426.92,2413.52,2425.18,11.19,YES
07/10/2017,SPX,2409.0,2446.0,2425.0,BULLISH,SPX  S&P 500,2424.51,2432.0,2422.27,2427.43,11.11,
07/11/2017,,,,,,,2427.35,2429.3,2412.79,2425.53,10.89,YES
07/12/2017,SPX,2410.0,2443.0,2425.0,BULLISH,SPX  S&P 500,2435.75,2445.76,2435.75,2443.25,10.3,
07/13/2017,SPX,2415.0,2446.0,2443.0,BULLISH,SPX  S&P 500,2444.99,2449.32,2441.69,2447.83,9.9,
07/14/2017,SPX,2429.0,2453.0,2447.0,BULLISH,SPX  S&P 500,2449.16,2463.54,2446.69,2459.27,9.51,
07/17/2017,SPX,2430.0,2464.0,2459.0,BULLISH,SPX  S&P 500,2459.5,2462.82,2457.16,2459.14,9.82,
07/18/2017,SPX,2437.0,2469.0,2459.0,BULLISH,SPX  S&P 500,2455.88,2460.92,2450.34,2460.61,9.89,
07/19/2017,SPX,2439.0,2475.0,2460.0,BULLISH,SPX  S&P 500,2463.85,2473.83,2463.85,2473.83,9.79,
07/20/2017,SPX,2447.0,2481.0,2473.0,BULLISH,SPX  S&P 500,2475.56,2477.62,2468.43,2473.45,9.58,
07/21/2017,SPX,2451.0,2486.0,2473.0,BULLISH,SPX  S&P 500,2467.4,2472.54,2465.06,2472.54,9.36,
07/24/2017,SPX,2456.0,2488.0,2472.0,BULLISH,SPX  S&P 500,2472.04,2473.1,2466.32,2469.91,9.43,
07/25/2017,SPX,2460.0,2483.0,2469.0,BULLISH,SPX  S&P 500,2477.88,2481.24,2474.91,2477.13,9.43,
07/26/2017,SPX,2465.0,2485.0,2477.0,BULLISH,SPX  S&P 500,2479.97,2481.69,2474.94,2477.83,9.6,
07/27/2017,SPX,2468.0,2484.0,2477.0,BULLISH,SPX  S&P 500,2482.76,2484.04,2459.93,2475.42,10.11,
07/28/2017,SPX,2459.0,2484.0,2475.0,BULLISH,SPX  S&P 500,2469.12,2473.53,2464.66,2472.1,10.29,
07/31/2017,SPX,2461.0,2483.0,2472.0,BULLISH,SPX  S&P 500,2475.94,2477.96,2468.53,2470.3,10.26,
08/01/2017,SPX,2463.0,2483.0,2470.0,BULLISH,SPX  S&P 500,2477.1,2478.51,2471.14,2476.35,10.09,
08/02/2017,SPX,2466.0,2483.0,2476.0,BULLISH,SPX  S&P 500,2480.38,2480.38,2466.48,2477.57,10.28,
08/03/2017,SPX,2467.0,2483.0,2477.0,BULLISH,SPX  S&P 500,2476.03,2476.03,2468.85,2472.16,10.44,
08/04/2017,,,,,,,2476.88,2480.0,2472.08,2476.83,10.03,YES
08/07/2017,SPX,2468.0,2482.0,2476.0,BULLISH,SPX  S&P 500,2477.14,2480.95,2475.88,2480.91,9.93,
08/08/2017,SPX,2470.0,2483.0,2480.0,BULLISH,SPX  S&P 500,2478.35,2490.87,2470.32,2474.92,10.96,
08/09/2017,SPX,2459.0,2480.0,2474.0,BULLISH,SPX  S&P 500,2465.35,2474.41,2462.08,2474.02,11.11,
08/10/2017,SPX,2467.0,2482.0,2474.0,BULLISH,SPX  S&P 500,2465.38,2465.38,2437.75,2438.21,16.04,
08/11/2017,SPX,2433.0,2481.0,2438.0,BULLISH,SPX  S&P 500,2441.04,2448.09,2437.85,2441.32,15.51,
08/14/2017,SPX,2436.0,2482.0,2441.0,BULLISH,SPX  S&P 500,2454.96,2468.22,2454.96,2465.84,12.33,
08/15/2017,SPX,2438.0,2495.0,2465.0,BULLISH,SPX  S&P 500,2468.66,2468.9,2461.61,2464.61,12.04,
08/16/2017,SPX,2437.0,2493.0,2464.0,BULLISH,SPX  S&P 500,2468.63,2474.93,2463.86,2468.11,11.74,
08/17/2017,SPX,2439.0,2494.0,2468.0,BULLISH,SPX  S&P 500,2462.95,2465.02,2430.01,2430.01,15.55,
08/18/2017,SPX,2425.0,2493.0,2430.0,BULLISH,SPX  S&P 500,2427.64,2440.27,2420.69,2425.55,14.26,
08/21/2017,SPX,2415.0,2485.0,2425.0,BULLISH,SPX  S&P 500,2425.5,2430.58,2417.35,2428.37,13.19,
08/22/2017,SPX,2412.0,2486.0,2428.0,BULLISH,SPX  S&P 500,2433.75,2454.77,2433.67,2452.51,11.35,
08/23/2017,SPX,2429.0,2480.0,2452.0,BULLISH,SPX  S&P 500,2444.88,2448.91,2441.42,2444.04,12.25,
08/24/2017,SPX,2425.0,2480.0,2444.0,BULLISH,SPX  S&P 500,2447.91,2450.39,2436.19,2438.97,12.23,
08/25/2017,SPX,2428.0,2480.0,2438.0,BULLISH,SPX  S&P 500,2444.72,2453.96,2442.22,2443.05,11.28,
08/28/2017,SPX,2430.0,2473.0,2443.0,BULLISH,SPX  S&P 500,2447.35,2449.12,2439.03,2444.24,11.32,
08/29/2017,SPX,2415.0,2465.0,2444.0,BULLISH,SPX  S&P 500,2431.94,2449.19,2428.2,2446.3,11.7,
08/30/2017,SPX,2420.0,2457.0,2446.0,BULLISH,SPX  S&P 500,2446.06,2460.31,2443.77,2457.59,11.22,
08/31/2017,SPX,2423.0,2463.0,2457.0,BULLISH,SPX  S&P 500,2462.65,2475.01,2462.65,2471.65,10.59,
09/01/2017,SPX,2432.0,2478.0,2471.0,BULLISH,SPX  S&P 500,2474.42,2480.38,2473.85,2476.55,10.13,
09/05/2017,SPX,2452.0,2479.0,2476.0,BULLISH,SPX  S&P 500,2470.35,2471.97,2446.55,2457.85,12.23,
09/06/2017,SPX,2435.0,2478.0,2457.0,BULLISH,SPX  S&P 500,2463.83,2469.64,2459.2,2465.54,11.63,
09/07/2017,SPX,2435.0,2482.0,2465.0,BULLISH,SPX  S&P 500,2468.06,2468.62,2460.29,2465.1,11.55,
09/08/2017,SPX,2435.0,2482.0,2465.0,BULLISH,SPX  S&P 500,2462.25,2467.11,2459.4,2461.43,12.12,
09/11/2017,SPX,2436.0,2480.0,2461.0,BULLISH,SPX  S&P 500,2474.52,2488.95,2474.52,2488.11,10.73,
09/12/2017,SPX,2466.0,2495.0,2488.0,BULLISH,SPX  S&P 500,2491.94,2496.77,2490.37,2496.48,10.58,
09/13/2017,SPX,2461.0,2511.0,2496.0,BULLISH,SPX  S&P 500,2493.89,2498.37,2492.14,2498.37,10.5,
09/14/2017,SPX,2461.0,2511.0,2498.0,BULLISH,SPX  S&P 500,2494.56,2498.43,2491.35,2495.62,10.44,
09/15/2017,SPX,2466.0,2510.0,2495.0,BULLISH,SPX  S&P 500,2495.67,2500.23,2493.16,2500.23,10.17,
09/18/2017,SPX,2470.0,2515.0,2500.0,BULLISH,SPX  S&P 500,2502.51,2508.32,2499.92,2503.87,10.15,
09/19/2017,SPX,2471.0,2519.0,2503.0,BULLISH,SPX  S&P 500,2506.29,2507.84,2503.19,2506.65,10.18,
09/20/2017,SPX,2474.0,2522.0,2506.0,BULLISH,SPX  S&P 500,2506.84,2508.85,2496.67,2508.24,9.78,
09/21/2017,SPX,2476.0,2521.0,2508.0,BULLISH,SPX  S&P 500,2507.16,2507.16,2499.0,2500.6,9.67,
09/22/2017,SPX,2486.0,2511.0,2500.0,BULLISH,SPX  S&P 500,2497.26,2503.47,2496.54,2502.22,9.59,
09/25/2017,SPX,2491.0,2510.0,2502.0,BULLISH,SPX  S&P 500,2499.39,2502.54,2488.03,2496.66,10.21,
09/26/2017,SPX,2491.0,2510.0,2496.0,BULLISH,SPX  S&P 500,2501.04,2503.51,2495.12,2496.84,10.17,
09/27/2017,SPX,2492.0,2510.0,2496.0,BULLISH,SPX  S&P 500,2503.3,2511.75,2495.91,2507.04,9.87,
09/28/2017,SPX,2494.0,2511.0,2507.0,BULLISH,SPX  S&P 500,2503.41,2510.81,2502.93,2510.06,9.55,
09/29/2017,SPX,2495.0,2514.0,2510.0,BULLISH,SPX  S&P 500,2509.96,2519.44,2507.99,2519.36,9.51,
10/02/2017,SPX,2504.0,2525.0,2519.0,BULLISH,SPX  S&P 500,2521.2,2529.23,2520.4,2529.12,9.45,
10/03/2017,SPX,2507.0,2535.0,2529.0,BULLISH,SPX  S&P 500,2530.34,2535.13,2528.85,2534.58,9.51,
10/04/2017,SPX,2511.0,2539.0,2534.0,BULLISH,SPX  S&P 500,2533.48,2540.53,2531.8,2537.74,9.63,
10/05/2017,SPX,2514.0,2545.0,2537.0,BULLISH,SPX  S&P 500,2540.86,2552.51,2540.02,2552.07,9.19,
10/06/2017,SPX,2520.0,2558.0,2552.0,BULLISH,SPX  S&P 500,2547.44,2549.41,2543.79,2549.33,9.65,
10/09/2017,SPX,2525.0,2563.0,2549.0,BULLISH,SPX  S&P 500,2551.39,2551.82,2541.6,2544.73,10.33,
10/10/2017,SPX,2521.0,2563.0,2544.0,BULLISH,SPX  S&P 500,2549.99,2555.23,2544.86,2550.64,10.08,
10/11/2017,SPX,2520.0,2565.0,2550.0,BULLISH,SPX  S&P 500,2550.62,2555.24,2547.95,2555.24,9.85,
10/12/2017,SPX,2520.0,2565.0,2555.0,BULLISH,SPX  S&P 500,2552.88,2555.33,2548.31,2550.93,9.91,
10/13/2017,SPX,2526.0,2562.0,2550.0,BULLISH,SPX  S&P 500,2555.66,2557.65,2552.09,2553.17,9.61,
10/16/2017,SPX,2535.0,2562.0,2553.0,BULLISH,SPX  S&P 500,2555.57,2559.47,2552.64,2557.64,9.91,
10/17/2017,SPX,2540.0,2563.0,2557.0,BULLISH,SPX  S&P 500,2557.17,2559.71,2554.69,2559.36,10.31,
10/18/2017,SPX,2543.0,2562.0,2559.0,BULLISH,SPX  S&P 500,2562.87,2564.11,2559.67,2561.26,10.07,
10/19/2017,SPX,2544.0,2564.0,2561.0,BULLISH,SPX  S&P 500,2553.39,2562.36,2547.92,2562.1,10.05,
10/20/2017,SPX,2545.0,2567.0,2562.0,BULLISH,SPX  S&P 500,2567.56,2575.44,2567.56,2575.21,9.97,
10/23/2017,SPX,2557.0,2582.0,2575.0,BULLISH,SPX  S&P 500,2578.08,2578.29,2564.33,2564.98,11.07,
10/24/2017,SPX,2545.0,2575.0,2564.0,BULLISH,SPX  S&P 500,2568.66,2572.18,2565.58,2569.13,11.16,
10/25/2017,SPX,2560.0,2576.0,2569.0,BULLISH,SPX  S&P 500,2566.52,2567.4,2544.0,2557.15,11.23,
10/26/2017,SPX,2548.0,2576.0,2557.0,BULLISH,SPX  S&P 500,2560.08,2567.07,2559.8,2560.4,11.3,
